"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-27.784742,114.409101,2024,2024-07-01 13:11:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.76606,114.385495,2024,2024-05-17 10:51:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.765454,114.384819,2024,2024-02-28 17:17:15,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.739997,114.351846,2024,2024-02-28 17:29:07,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.739942,114.351854,2024,2024-02-28 17:29:22,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.738382,114.35014,2024,2024-09-07 17:19:03,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.735092,114.345597,2024,2024-10-22 06:51:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.732487,114.342187,2024,2024-09-11 11:38:28,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.730094,114.339552,2024,2024-02-28 17:40:47,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.715472,114.321911,2024,2024-10-22 06:46:04,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.700461,114.92585,2024,2024-10-21 13:22:51,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.696275,114.179079,2024,2024-09-12 10:23:18,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.689398,114.203545,2024,2024-02-28 18:05:34,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.688556,114.283668,2024,2024-09-07 22:54:02,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.687136,114.26099,2024,2024-07-16 14:46:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.686678,114.273729,2024,2024-11-13 16:44:52,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.669837,114.284037,2024,2024-08-13 15:00:27,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.66279,114.296697,2024,2024-07-02 14:42:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.66267,114.296691,2024,2024-07-02,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.661204,114.300885,2024,2024-03-03 16:59:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.659221,114.304198,2024,2024-03-03 15:36:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.648731,114.356035,2024,2024-04-07 14:21:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.648684,114.455436,2024,2024-10-14 13:50:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.646751,114.328756,2024,2024-03-03 16:52:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
-27.646532,114.326336,2024,2024-03-02 16:40:00,"Moloch horridus","944010-99999","KALBARRI",-27.717,114.167,"Walker Street, Kalbarri, Shire of Northampton, Western Australia, Australia","Walker Street","Western Australia"
